model,MAE_log,RMSE_log,R2_log,MAE_PLN,RMSE_PLN
autogluon,0.136373486098776,0.21482164085958597,0.9559392522128012,6939.563936047373,15791.19791287556
lgbm_tuned,0.14205857439157382,0.22119898436864546,0.9532843859517883,7341.569209765968,16698.01771128284
lgbm_default,0.14981183955342417,0.22818721551566187,0.9502860327020246,7990.982997294387,17886.323990738183
hist_gbr,0.16869654017688154,0.24926944465829667,0.9406755259145263,9350.703205918144,20635.19403677692
ridge,0.29763480252628377,0.4451948215649968,0.8107673755110687,16792.411872343466,34238.39226163386
